"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"HIP_API",2506,401940775,160391.370710,73.31,40,42241870,1662162.510170
"KERNEL_DISPATCH",135,78743984,583288.770370,14.36,574466,658742,11534.555022
"MEMORY_COPY",60,49460509,824341.816667,9.02,383350,1779379,439860.408240
"MEMORY_ALLOCATION",9,18166870,2018541.111111,3.31,13234,4929664,1712863.066405
