"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
1,1,"Agent 1",1,998686,998686,1024,6,"__amd_rocclr_copyBuffer",512,0,0,16,0,128,"VALUInsts",21.000000,6125234652722958,6125234652727446
2,2,"Agent 1",1,998686,998686,1024,6,"__amd_rocclr_copyBuffer",512,0,0,16,0,128,"VALUInsts",21.000000,6125234652820834,6125234652823118
3,3,"Agent 1",1,998686,998686,4194304,17,"layernorm_v1_fused(float const*, float const*, float const*, float*, int, float)",1024,0,0,16,0,128,"VALUInsts",180.500000,6125234653394291,6125234654256460
4,4,"Agent 1",1,998686,998686,4194304,17,"layernorm_v1_fused(float const*, float const*, float const*, float*, int, float)",1024,0,0,16,0,128,"VALUInsts",180.500000,6125234654284954,6125234655058393
5,5,"Agent 1",1,998686,998686,4194304,17,"layernorm_v1_fused(float const*, float const*, float const*, float*, int, float)",1024,0,0,16,0,128,"VALUInsts",180.500000,6125234655110453,6125234655877520
6,6,"Agent 1",1,998686,998686,4194304,17,"layernorm_v1_fused(float const*, float const*, float const*, float*, int, float)",1024,0,0,16,0,128,"VALUInsts",180.500000,6125234655906776,6125234656674604
7,7,"Agent 1",1,998686,998686,4194304,17,"layernorm_v1_fused(float const*, float const*, float const*, float*, int, float)",1024,0,0,16,0,128,"VALUInsts",180.500000,6125234656703941,6125234657482990
8,8,"Agent 1",1,998686,998686,4194304,17,"layernorm_v1_fused(float const*, float const*, float const*, float*, int, float)",1024,0,0,16,0,128,"VALUInsts",180.500000,6125234657512246,6125234658282039
9,9,"Agent 1",1,998686,998686,4194304,17,"layernorm_v1_fused(float const*, float const*, float const*, float*, int, float)",1024,0,0,16,0,128,"VALUInsts",180.500000,6125234658310333,6125234659069505
