"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
1,1,"Agent 1",1,998694,998694,1024,4,"__amd_rocclr_copyBuffer",512,0,0,16,0,128,"VALUInsts",21.000000,6125235025988474,6125235025993163
2,2,"Agent 1",1,998694,998694,1024,4,"__amd_rocclr_copyBuffer",512,0,0,16,0,128,"VALUInsts",21.000000,6125235026045511,6125235026048156
3,3,"Agent 1",1,998694,998694,4194304,16,"layernorm_v2_float4(float const*, float const*, float const*, float*, int, float)",1024,0,0,24,0,128,"VALUInsts",112.500000,6125235026548021,6125235027138217
4,4,"Agent 1",1,998694,998694,4194304,16,"layernorm_v2_float4(float const*, float const*, float const*, float*, int, float)",1024,0,0,24,0,128,"VALUInsts",112.500000,6125235027165789,6125235027742439
5,5,"Agent 1",1,998694,998694,4194304,16,"layernorm_v2_float4(float const*, float const*, float const*, float*, int, float)",1024,0,0,24,0,128,"VALUInsts",112.500000,6125235027816258,6125235028394832
6,6,"Agent 1",1,998694,998694,4194304,16,"layernorm_v2_float4(float const*, float const*, float const*, float*, int, float)",1024,0,0,24,0,128,"VALUInsts",112.500000,6125235028422684,6125235028999775
7,7,"Agent 1",1,998694,998694,4194304,16,"layernorm_v2_float4(float const*, float const*, float const*, float*, int, float)",1024,0,0,24,0,128,"VALUInsts",112.500000,6125235029028790,6125235029606923
8,8,"Agent 1",1,998694,998694,4194304,16,"layernorm_v2_float4(float const*, float const*, float const*, float*, int, float)",1024,0,0,24,0,128,"VALUInsts",112.500000,6125235029635016,6125235030212227
9,9,"Agent 1",1,998694,998694,4194304,16,"layernorm_v2_float4(float const*, float const*, float const*, float*, int, float)",1024,0,0,24,0,128,"VALUInsts",112.500000,6125235030241322,6125235030818132
