"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
1,1,"Agent 1",1,997647,997647,256,3,"__amd_rocclr_fillBufferAligned",256,0,0,16,0,128,"FETCH_SIZE",9.37500000e-01,6125130155526949,6125130155530155
2,2,"Agent 1",1,997647,997647,67108864,18,"reduce_v3_unrolled(float const*, float*, int)",256,0,0,16,0,128,"FETCH_SIZE",131082.687500,6125130155993149,6125130164709898
3,3,"Agent 1",1,997647,997647,256,3,"__amd_rocclr_fillBufferAligned",256,0,0,16,0,128,"FETCH_SIZE",5.62500000e-01,6125130164749493,6125130164751777
4,4,"Agent 1",1,997647,997647,67108864,18,"reduce_v3_unrolled(float const*, float*, int)",256,0,0,16,0,128,"FETCH_SIZE",131072.125000,6125130164775581,6125130173507049
5,5,"Agent 1",1,997647,997647,256,3,"__amd_rocclr_fillBufferAligned",256,0,0,16,0,128,"FETCH_SIZE",6.25000000e-01,6125130173579725,6125130173581889
6,6,"Agent 1",1,997647,997647,67108864,18,"reduce_v3_unrolled(float const*, float*, int)",256,0,0,16,0,128,"FETCH_SIZE",131072.250000,6125130173606335,6125130182330709
7,7,"Agent 1",1,997647,997647,256,3,"__amd_rocclr_fillBufferAligned",256,0,0,16,0,128,"FETCH_SIZE",5.00000000e-01,6125130182358401,6125130182360565
8,8,"Agent 1",1,997647,997647,67108864,18,"reduce_v3_unrolled(float const*, float*, int)",256,0,0,16,0,128,"FETCH_SIZE",131072.125000,6125130182382459,6125130191101549
9,9,"Agent 1",1,997647,997647,256,3,"__amd_rocclr_fillBufferAligned",256,0,0,16,0,128,"FETCH_SIZE",3.75000000e-01,6125130191141824,6125130191143988
10,10,"Agent 1",1,997647,997647,67108864,18,"reduce_v3_unrolled(float const*, float*, int)",256,0,0,16,0,128,"FETCH_SIZE",131072.125000,6125130191166230,6125130199881032
11,11,"Agent 1",1,997647,997647,256,3,"__amd_rocclr_fillBufferAligned",256,0,0,16,0,128,"FETCH_SIZE",2.50000000e-01,6125130199917782,6125130199919064
12,12,"Agent 1",1,997647,997647,67108864,18,"reduce_v3_unrolled(float const*, float*, int)",256,0,0,16,0,128,"FETCH_SIZE",131072.250000,6125130199940945,6125130208653343
13,13,"Agent 1",1,997647,997647,256,3,"__amd_rocclr_fillBufferAligned",256,0,0,16,0,128,"FETCH_SIZE",3.75000000e-01,6125130208690493,6125130208692657
14,14,"Agent 1",1,997647,997647,67108864,18,"reduce_v3_unrolled(float const*, float*, int)",256,0,0,16,0,128,"FETCH_SIZE",131072.125000,6125130208714516,6125130217432642
15,15,"Agent 1",1,997647,997647,512,6,"__amd_rocclr_copyBuffer",512,0,0,16,0,128,"FETCH_SIZE",2.50000000e-01,6125130217494558,6125130217497885
